Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,8.630192E-01,0.000000E+00,2.109178E+00,2.678650E+04,4.725538E+04,9.023608E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.200821E+00,2.781770E+04,4.849327E+04,9.494378E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.143957E+00,2.717772E+04,4.791319E+04,1.071313E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
00:30:00,8.630192E-01,0.000000E+00,2.095691E+00,2.650475E+04,4.691970E+04,9.023895E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.185277E+00,2.751282E+04,4.813273E+04,9.494500E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.122522E+00,2.680653E+04,4.748332E+04,1.071316E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
00:45:00,8.630192E-01,0.000000E+00,2.082563E+00,2.622701E+04,4.659120E+04,9.024181E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.170150E+00,2.721259E+04,4.777950E+04,9.494621E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.101654E+00,2.644168E+04,4.706279E+04,1.071319E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
01:00:00,8.630192E-01,0.000000E+00,2.069740E+00,2.595267E+04,4.627543E+04,9.024463E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.155371E+00,2.691624E+04,4.743966E+04,9.494741E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.081280E+00,2.608238E+04,4.665705E+04,1.071321E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
01:15:00,8.630192E-01,0.000000E+00,2.057336E+00,2.572641E+04,4.601901E+04,9.024744E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.141081E+00,2.666875E+04,4.716033E+04,9.494860E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.061549E+00,2.577364E+04,4.631311E+04,1.071324E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
01:30:00,8.630192E-01,0.000000E+00,2.045321E+00,2.550449E+04,4.577470E+04,9.025022E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.127241E+00,2.642631E+04,4.689397E+04,9.494979E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.042375E+00,2.547117E+04,4.598297E+04,1.071326E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
01:45:00,8.630192E-01,0.000000E+00,2.037197E+00,2.532638E+04,4.558126E+04,9.024996E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.117291E+00,2.622764E+04,4.667893E+04,9.494967E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.027191E+00,2.521360E+04,4.570546E+04,1.071326E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
02:00:00,8.630192E-01,0.000000E+00,2.029463E+00,2.515265E+04,4.539549E+04,9.024969E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.107813E+00,2.603428E+04,4.647245E+04,9.494956E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.012609E+00,2.496280E+04,4.543790E+04,1.071326E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
02:15:00,8.630192E-01,0.000000E+00,2.022132E+00,2.500511E+04,4.523873E+04,9.024943E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.098810E+00,2.586793E+04,4.629578E+04,9.494945E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.998643E+00,2.474060E+04,4.520178E+04,1.071326E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
02:30:00,8.630192E-01,0.000000E+00,2.015204E+00,2.486212E+04,4.508809E+04,9.024917E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.090288E+00,2.570700E+04,4.612611E+04,9.494934E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.985320E+00,2.452563E+04,4.497453E+04,1.071325E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
