Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
01:00:00,8.630192E-01,0.000000E+00,2.354055E+00,2.914969E+04,4.995772E+04,9.026747E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.461882E+00,3.036276E+04,5.141771E+04,9.497017E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.438749E+00,3.010240E+04,5.127644E+04,1.071530E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
02:00:00,8.630192E-01,0.000000E+00,2.248007E+00,2.760995E+04,4.799207E+04,9.027165E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.345718E+00,2.870924E+04,4.932661E+04,9.497208E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.301087E+00,2.820699E+04,4.892811E+04,1.071534E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
03:00:00,8.630192E-01,0.000000E+00,2.144272E+00,2.618297E+04,4.644618E+04,9.027572E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.232199E+00,2.717221E+04,4.766050E+04,9.497393E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.166603E+00,2.643403E+04,4.700208E+04,1.071539E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
04:00:00,8.630192E-01,0.000000E+00,2.043201E+00,2.478589E+04,4.501286E+04,9.027968E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.121777E+00,2.566995E+04,4.610527E+04,9.497574E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.036450E+00,2.470972E+04,4.519774E+04,1.071543E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
05:00:00,8.630192E-01,0.000000E+00,2.009719E+00,2.423605E+04,4.445663E+04,9.028353E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.081668E+00,2.504556E+04,4.546605E+04,9.497750E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.978609E+00,2.388575E+04,4.434241E+04,1.071547E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
06:00:00,8.630192E-01,0.000000E+00,1.982693E+00,2.410565E+04,4.431793E+04,9.028727E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.049578E+00,2.485819E+04,4.526336E+04,9.497921E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.931106E+00,2.352489E+04,4.395365E+04,1.071552E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
07:00:00,8.630192E-01,0.000000E+00,2.033935E+00,2.528954E+04,4.554364E+04,9.028559E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.099285E+00,2.602480E+04,4.648011E+04,9.497845E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.967783E+00,2.454483E+04,4.502411E+04,1.071550E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
08:00:00,8.630192E-01,0.000000E+00,2.098906E+00,2.749498E+04,4.863170E+04,9.028395E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.165940E+00,2.824917E+04,4.962703E+04,9.497770E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.025001E+00,2.666298E+04,4.796411E+04,1.071548E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
09:00:00,8.630192E-01,0.000000E+00,2.178711E+00,3.004056E+04,5.207370E+04,9.028236E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.250353E+00,3.084658E+04,5.314155E+04,9.497698E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.104977E+00,2.921046E+04,5.136278E+04,1.071546E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
10:00:00,8.630192E-01,0.000000E+00,2.273838E+00,3.258488E+04,5.511051E+04,9.028082E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.353126E+00,3.347687E+04,5.626412E+04,9.497628E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.209579E+00,3.186136E+04,5.451668E+04,1.071545E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
