#{"t_start": 1769966913.539522, "env_id": "None"}
r,l,t
-1171.154526,9096,166.953892
-1171.154526,9096,306.475522
-1171.154526,9096,498.819186
-1171.154526,9096,676.075127
-1171.154526,9096,869.920752
-1171.154526,9096,1050.989484
-1171.154526,9096,1249.90721
-1171.154526,9096,1432.431165
-1171.154526,9096,1616.703811
-1171.154526,9096,1804.516361
-1171.154526,9096,1984.020626
-1171.154526,9096,2177.250409
-1171.154526,9096,2366.745375
-1171.154526,9096,2563.03391
-1171.154526,9096,2739.459809
-1171.154526,9096,2921.820055
